Output Steer,Human Steer,Output Motor,Human Motor,Loss
5.677235722541809082e-01,5.069954991340637207e-01,5.586556196212768555e-01,5.536495447158813477e-01,2.044022548943758011e-03
5.936793088912963867e-01,5.220311284065246582e-01,5.676594972610473633e-01,5.454545617103576660e-01,2.891857642680406570e-03
5.886178016662597656e-01,6.795638799667358398e-01,5.844487547874450684e-01,5.555555224418640137e-01,6.642478052526712418e-03
3.941439986228942871e-01,4.505639076232910156e-01,5.590431094169616699e-01,5.925706624984741211e-01,2.772993640974164009e-03
1.433958411216735840e-01,1.706943809986114502e-01,5.659117102622985840e-01,5.538676381111145020e-01,4.578399530146270990e-04
5.906788706779479980e-01,5.561988949775695801e-01,5.431978106498718262e-01,5.489525198936462402e-01,1.768202520906925201e-03
7.515785694122314453e-01,7.495652437210083008e-01,5.636848211288452148e-01,5.555555224418640137e-01,6.678170757368206978e-05
5.729781985282897949e-01,5.868850350379943848e-01,5.895667672157287598e-01,5.610636472702026367e-01,6.037435377947986126e-04
9.587818384170532227e-02,-6.879828870296478271e-04,5.574371218681335449e-01,5.555555224418640137e-01,4.724929574877023697e-03
5.967260003089904785e-01,6.794768571853637695e-01,5.512225627899169922e-01,5.454545617103576660e-01,3.765990491956472397e-03
1.406900733709335327e-01,1.383210718631744385e-01,5.407899618148803711e-01,5.499545335769653320e-01,6.398132245521992445e-05
7.800146341323852539e-01,7.163534760475158691e-01,5.715390443801879883e-01,5.987374186515808105e-01,2.408258151262998581e-03
1.804531738162040710e-02,-5.225870292633771896e-03,5.292965769767761230e-01,5.454545617103576660e-01,4.113929462619125843e-04
6.243528127670288086e-01,6.164931654930114746e-01,5.701833963394165039e-01,5.650990009307861328e-01,2.104910556226968765e-03
1.398890316486358643e-01,2.308356463909149170e-01,5.429770350456237793e-01,5.541373491287231445e-01,4.211097024381160736e-03
1.352355629205703735e-02,1.262252591550350189e-02,5.361932516098022461e-01,5.563646554946899414e-01,2.126049948856234550e-04
5.937128663063049316e-01,5.256226062774658203e-01,5.608941316604614258e-01,5.610636472702026367e-01,2.813983242958784103e-03
1.529376488178968430e-02,-6.897388957440853119e-03,5.490684509277343750e-01,5.539434552192687988e-01,2.664147468749433756e-04
2.607914805412292480e-01,3.175950348377227783e-01,5.718635320663452148e-01,6.060605645179748535e-01,2.298286184668540955e-03
9.040504693984985352e-03,8.838390931487083435e-03,5.805319547653198242e-01,6.098929643630981445e-01,4.436808521859347820e-04
4.924607872962951660e-01,4.996182024478912354e-01,5.733546018600463867e-01,5.996212363243103027e-01,4.520364163909107447e-04
8.720830082893371582e-01,9.276145696640014648e-01,5.726123452186584473e-01,5.458332896232604980e-01,1.902209362015128136e-03
6.522258520126342773e-01,7.286022901535034180e-01,5.799642205238342285e-01,5.602908730506896973e-01,3.228478832170367241e-03
8.563039898872375488e-01,9.580775499343872070e-01,5.867176651954650879e-01,5.464646220207214355e-01,6.005529779940843582e-03
6.099469661712646484e-01,5.255487561225891113e-01,5.834848880767822266e-01,5.925707817077636719e-01,4.058445338159799576e-03
4.366252422332763672e-01,4.240714907646179199e-01,5.690811276435852051e-01,5.939061045646667480e-01,5.180212319828569889e-04
1.070785894989967346e-01,1.640835702419281006e-01,5.689081549644470215e-01,5.551929473876953125e-01,1.723928609862923622e-03
2.030226960778236389e-02,3.314123675227165222e-02,5.564593672752380371e-01,5.486363172531127930e-01,1.289107458433136344e-04
7.066096663475036621e-01,7.468163967132568359e-01,5.812568068504333496e-01,5.566919445991516113e-01,1.138323685154318810e-03
1.475491374731063843e-02,-4.867325536906719208e-03,5.581791400909423828e-01,5.555555224418640137e-01,2.009540039580315351e-04
9.058114290237426758e-01,9.876111745834350586e-01,5.502736568450927734e-01,5.454545617103576660e-01,3.369871526956558228e-03
6.224220395088195801e-01,4.883793890476226807e-01,5.865430831909179688e-01,6.160980463027954102e-01,9.539830498397350311e-03
9.353080987930297852e-01,9.835015535354614258e-01,5.576585531234741211e-01,5.514667034149169922e-01,1.220370759256184101e-03
5.926688313484191895e-01,5.588455200195312500e-01,5.791386365890502930e-01,5.563635826110839844e-01,1.079177483916282654e-03
6.487149000167846680e-01,8.618300557136535645e-01,5.575236678123474121e-01,5.494949221611022949e-01,2.275912091135978699e-02
4.604815542697906494e-01,3.877503275871276855e-01,5.789204835891723633e-01,5.574394464492797852e-01,2.899972256273031235e-03
1.475333869457244873e-01,1.372525244951248169e-01,5.976355075836181641e-01,5.532242059707641602e-01,1.296852831728756428e-03
1.377215236425399780e-02,8.108866401016712189e-03,5.653533339500427246e-01,5.578909516334533691e-01,5.784858512924984097e-05
3.310334682464599609e-01,2.180550396442413330e-01,5.733723640441894531e-01,5.488666892051696777e-01,6.694400217384099960e-03
7.903172373771667480e-01,6.647678613662719727e-01,5.839041471481323242e-01,5.455767512321472168e-01,8.665480650961399078e-03
5.002058744430541992e-01,4.308003485202789307e-01,5.623761415481567383e-01,5.535353422164916992e-01,2.558662090450525284e-03
7.867361903190612793e-01,7.684841156005859375e-01,5.631178021430969238e-01,5.456363558769226074e-01,3.405921161174774170e-04
5.266004800796508789e-01,4.359060227870941162e-01,5.817509889602661133e-01,5.466333627700805664e-01,5.060615949332714081e-03
3.378211557865142822e-01,2.173920124769210815e-01,5.653902888298034668e-01,5.742090940475463867e-01,7.332884706556797028e-03
7.764697670936584473e-01,8.417967557907104492e-01,5.839966535568237305e-01,6.070080399513244629e-01,2.713384339585900307e-03
9.701566398143768311e-02,-8.887663483619689941e-03,5.856679677963256836e-01,5.537424087524414062e-01,6.128096487373113632e-03
3.743421733379364014e-01,4.203013777732849121e-01,5.793097019195556641e-01,5.892676115036010742e-01,1.611934392713010311e-03
1.882402747869491577e-01,2.423702925443649292e-01,5.649938583374023438e-01,5.454545617103576660e-01,1.938448520377278328e-03
7.852852940559387207e-01,8.475610017776489258e-01,5.465047955513000488e-01,5.481020212173461914e-01,2.625371562317013741e-03
5.257716178894042969e-01,4.249257445335388184e-01,5.898656249046325684e-01,6.118808388710021973e-01,5.620163865387439728e-03
5.249653458595275879e-01,4.860219359397888184e-01,5.765323638916015625e-01,5.589686632156372070e-01,9.259999496862292290e-04
1.800370514392852783e-01,2.585594058036804199e-01,5.637092590332031250e-01,5.472333431243896484e-01,3.269161330536007881e-03
6.043432354927062988e-01,5.205994248390197754e-01,5.791584849357604980e-01,5.513252019882202148e-01,4.090817179530858994e-03
8.697875738143920898e-01,9.882209897041320801e-01,5.537462830543518066e-01,5.452535152435302734e-01,7.062137126922607422e-03
6.323627233505249023e-01,6.386879682540893555e-01,5.786221623420715332e-01,5.760292410850524902e-01,4.998858275939710438e-05
6.409195065498352051e-01,7.301956415176391602e-01,5.439299941062927246e-01,5.535353422164916992e-01,4.043339751660823822e-03
7.342914491891860962e-02,1.623965501785278320e-01,5.779435038566589355e-01,5.872050523757934570e-01,4.039079416543245316e-03
1.510951220989227295e-01,-6.834708154201507568e-03,5.984501838684082031e-01,5.551767349243164062e-01,1.342982612550258636e-02
4.853684902191162109e-01,4.908645153045654297e-01,5.862592458724975586e-01,6.105676889419555664e-01,3.681964299175888300e-04
8.117921948432922363e-01,9.956026077270507812e-01,5.794334411621093750e-01,5.656566023826599121e-01,1.700800657272338867e-02
7.532722949981689453e-01,7.795572876930236816e-01,5.593408346176147461e-01,5.615181326866149902e-01,3.613750450313091278e-04
9.230794906616210938e-01,9.988796114921569824e-01,5.520980358123779297e-01,5.454545617103576660e-01,2.900054911151528358e-03
8.488993346691131592e-02,1.787019893527030945e-02,5.560570955276489258e-01,5.484222173690795898e-01,2.307522343471646309e-03
7.150868177413940430e-01,8.568752408027648926e-01,5.540974736213684082e-01,5.867969393730163574e-01,1.059138216078281403e-02
5.890233516693115234e-01,6.363635659217834473e-01,5.697597265243530273e-01,5.484172105789184570e-01,1.355425221845507622e-03
8.371526598930358887e-01,9.980635643005371094e-01,6.082811355590820312e-01,5.913848876953125000e-01,1.327667944133281708e-02
3.427327573299407959e-01,4.350341856479644775e-01,5.635047554969787598e-01,5.555555224418640137e-01,4.301604349166154861e-03
5.779315233230590820e-01,5.223334431648254395e-01,5.818831324577331543e-01,5.778747797012329102e-01,1.702816458418965340e-03
4.613127708435058594e-01,3.976935744285583496e-01,5.726588964462280273e-01,5.476515889167785645e-01,2.780297538265585899e-03
6.757228374481201172e-01,7.944341301918029785e-01,5.553002357482910156e-01,5.539141893386840820e-01,7.101480849087238312e-03
4.149492830038070679e-02,-8.158125914633274078e-03,5.616655349731445312e-01,5.445707440376281738e-01,1.386028714478015900e-03
5.275015830993652344e-01,5.630453824996948242e-01,5.944334268569946289e-01,6.047645807266235352e-01,7.713277009315788746e-04
3.124421238899230957e-01,2.890130877494812012e-01,5.698408484458923340e-01,5.513504743576049805e-01,4.767042701132595539e-04
8.528850227594375610e-02,3.309571146965026855e-01,5.435309410095214844e-01,5.509868860244750977e-01,3.067774698138237000e-02
7.129536867141723633e-01,7.976815700531005859e-01,5.705297589302062988e-01,5.888121128082275391e-01,3.811253933236002922e-03
4.924505352973937988e-01,3.758604526519775391e-01,5.640333294868469238e-01,5.455383658409118652e-01,7.005631923675537109e-03
7.548707723617553711e-01,8.137011528015136719e-01,5.940407514572143555e-01,5.985969305038452148e-01,1.760767772793769836e-03
8.869584202766418457e-01,9.978595972061157227e-01,5.667502284049987793e-01,5.959596037864685059e-01,6.637014448642730713e-03
9.080466032028198242e-01,9.963952898979187012e-01,5.596973896026611328e-01,5.434343218803405762e-01,4.055581986904144287e-03
4.729920327663421631e-01,4.798219799995422363e-01,5.990186929702758789e-01,6.081475019454956055e-01,1.323600590694695711e-04
6.696721315383911133e-01,5.573438405990600586e-01,5.595110058784484863e-01,5.575555562973022461e-01,6.541124079376459122e-03
9.160012006759643555e-01,9.663392305374145508e-01,5.510390996932983398e-01,5.548878908157348633e-01,1.336937886662781239e-03
5.140555500984191895e-01,5.440698862075805664e-01,5.968191027641296387e-01,5.605475306510925293e-01,1.752529875375330448e-03
7.859700173139572144e-02,9.320285171270370483e-02,6.049117445945739746e-01,6.068434119224548340e-01,1.154152196249924600e-04
3.447047770023345947e-01,3.898959755897521973e-01,5.857878923416137695e-01,5.760110616683959961e-01,1.162515953183174133e-03
3.017566800117492676e-01,2.643773257732391357e-01,5.632181763648986816e-01,5.586393475532531738e-01,8.929826435633003712e-04
2.997358143329620361e-01,1.621059626340866089e-01,5.677899122238159180e-01,5.471171736717224121e-01,9.820630773901939392e-03
9.055858850479125977e-01,9.952934384346008301e-01,5.652307271957397461e-01,5.564393997192382812e-01,4.073436371982097626e-03
6.132011413574218750e-01,4.765165746212005615e-01,5.760763883590698242e-01,5.729929208755493164e-01,9.624043479561805725e-03
3.600561991333961487e-02,2.192735113203525543e-02,5.913062691688537598e-01,5.563131570816040039e-01,7.379269227385520935e-04
8.773475885391235352e-01,9.965586662292480469e-01,5.615690350532531738e-01,5.527676343917846680e-01,7.152447942644357681e-03
1.379453204572200775e-02,5.223465152084827423e-03,5.583214759826660156e-01,5.549868345260620117e-01,4.784915290656499565e-05
9.733332395553588867e-01,9.669621586799621582e-01,5.754777193069458008e-01,5.526889562606811523e-01,2.851854951586574316e-04
3.975639939308166504e-01,4.260986447334289551e-01,5.720195770263671875e-01,5.573737025260925293e-01,7.042096694931387901e-04
7.945160567760467529e-02,-7.498802151530981064e-03,5.830795168876647949e-01,5.903353691101074219e-01,3.876378294080495834e-03
1.071387343108654022e-02,-3.672098973765969276e-04,5.666911005973815918e-01,5.530787706375122070e-01,1.870961568783968687e-04
6.413805484771728516e-01,6.183258891105651855e-01,5.892812013626098633e-01,5.872958898544311523e-01,4.791397659573704004e-04
9.960268139839172363e-01,9.982569813728332520e-01,5.741972923278808594e-01,5.846252441406250000e-01,3.022417949978262186e-04
2.696932852268218994e-02,1.240880973637104034e-02,5.632234811782836914e-01,5.562292933464050293e-01,1.382601185468956828e-04
8.479541540145874023e-01,9.579356908798217773e-01,5.494424104690551758e-01,5.461080670356750488e-01,6.058677099645137787e-03
4.366157054901123047e-01,3.649770319461822510e-01,5.720245242118835449e-01,5.566776990890502930e-01,2.706967061385512352e-03
4.653560519218444824e-01,3.114092946052551270e-01,5.678666234016418457e-01,5.545989871025085449e-01,1.238305494189262390e-02
3.287108242511749268e-01,3.952160477638244629e-01,5.839015245437622070e-01,5.655747652053833008e-01,4.378933925181627274e-03
2.503856783732771873e-03,-5.575627554208040237e-03,5.545484423637390137e-01,5.555555224418640137e-01,3.771292540477588773e-05
5.591586828231811523e-01,4.447718262672424316e-01,5.779281258583068848e-01,5.773555636405944824e-01,7.189467549324035645e-03
8.266328573226928711e-01,9.953489303588867188e-01,5.936475992202758789e-01,5.780929327011108398e-01,1.445585303008556366e-02
1.370965503156185150e-02,2.980864048004150391e-02,5.544308423995971680e-01,5.461080670356750488e-01,1.768874208210036159e-04
9.627004712820053101e-02,6.156823039054870605e-02,5.917987823486328125e-01,5.519626736640930176e-01,1.477789715863764286e-03
2.402967512607574463e-01,2.769067883491516113e-01,5.678232312202453613e-01,5.494979619979858398e-01,8.742422796785831451e-04
9.063620567321777344e-01,9.831393957138061523e-01,5.936573743820190430e-01,6.080807447433471680e-01,3.102164017036557198e-03
2.287536859512329102e-01,3.227037787437438965e-01,5.567730069160461426e-01,5.555555224418640137e-01,4.607500042766332626e-03
6.036356091499328613e-02,-9.019745513796806335e-03,5.720970034599304199e-01,5.951323509216308594e-01,2.679101889953017235e-03
5.886700749397277832e-01,5.680556893348693848e-01,5.925368070602416992e-01,5.757575631141662598e-01,4.451145359780639410e-04
3.847795426845550537e-01,2.978930473327636719e-01,5.536174774169921875e-01,5.454545617103576660e-01,3.887784434482455254e-03
4.309622198343276978e-02,8.586858958005905151e-02,5.562380552291870117e-01,5.589767694473266602e-01,9.653471643105149269e-04
8.156569674611091614e-03,-6.812061183154582977e-03,5.687800049781799316e-01,5.590081214904785156e-01,1.734866382321342826e-04
7.240146398544311523e-02,-7.361303083598613739e-03,5.850265026092529297e-01,5.541889071464538574e-01,3.671057522296905518e-03
3.327969834208488464e-02,-9.345853701233863831e-03,5.851563215255737305e-01,5.657191872596740723e-01,1.127138850279152393e-03
4.891883730888366699e-01,4.942263662815093994e-01,5.647782087326049805e-01,5.454545617103576660e-01,2.064987784251570702e-04
8.822256326675415039e-01,8.179813623428344727e-01,5.524336695671081543e-01,5.542292594909667969e-01,2.103723585605621338e-03
7.358586192131042480e-01,7.792765498161315918e-01,5.595819354057312012e-01,5.534161329269409180e-01,1.005413942039012909e-03
8.105096817016601562e-01,8.780893087387084961e-01,5.686607360839843750e-01,5.454545617103576660e-01,2.666474552825093269e-03
5.099669694900512695e-01,4.938272535800933838e-01,5.603247880935668945e-01,5.457676649093627930e-01,2.784899552352726460e-04
7.967472672462463379e-01,8.137831687927246094e-01,5.740215778350830078e-01,5.656566023826599121e-01,2.024741843342781067e-04
5.947360396385192871e-01,5.226017832756042480e-01,5.828461647033691406e-01,5.912151932716369629e-01,2.835331251844763756e-03
