Output Steer,Human Steer,Output Motor,Human Motor,Loss
6.429046392440795898e-02,9.965595602989196777e-02,5.857095718383789062e-01,5.975384116172790527e-01,7.209461182355880737e-04
7.910552620887756348e-01,8.982383608818054199e-01,5.658761858940124512e-01,5.801959633827209473e-01,5.888674873858690262e-03
8.397350311279296875e-01,8.889282941818237305e-01,5.687273740768432617e-01,5.454545617103576660e-01,1.494614523835480213e-03
2.612246870994567871e-01,2.519435286521911621e-01,5.975569486618041992e-01,5.972222089767456055e-01,5.604245234280824661e-05
1.410439163446426392e-01,1.504325307905673981e-02,5.518764853477478027e-01,5.555555224418640137e-01,7.950605824589729309e-03
8.203275799751281738e-01,9.494949579238891602e-01,6.013884544372558594e-01,6.090909242630004883e-01,8.658793754875659943e-03
2.841517031192779541e-01,2.881476879119873047e-01,5.771142840385437012e-01,5.702999830245971680e-01,8.140061981976032257e-05
3.035057187080383301e-01,2.591046690940856934e-01,5.839068889617919922e-01,5.546131134033203125e-01,1.419603591784834862e-03
7.523765414953231812e-02,-9.212787263095378876e-03,5.584072470664978027e-01,5.444444417953491211e-01,3.671146929264068604e-03
5.459603071212768555e-01,6.085618138313293457e-01,5.896302461624145508e-01,6.016414165496826172e-01,2.735184039920568466e-03
3.577023148536682129e-01,3.158580660820007324e-01,5.991804003715515137e-01,5.555555224418640137e-01,1.838339259847998619e-03
3.947877585887908936e-01,9.461142122745513916e-02,5.938037037849426270e-01,5.961757898330688477e-01,4.607663676142692566e-02
8.916653394699096680e-01,9.952011108398437500e-01,5.727684497833251953e-01,5.548697113990783691e-01,5.525051616132259369e-03
9.880751371383666992e-01,9.675580859184265137e-01,5.475707054138183594e-01,5.393162369728088379e-01,2.728624385781586170e-04
9.065262079238891602e-01,9.946352839469909668e-01,5.752673745155334473e-01,5.522878766059875488e-01,4.152973182499408722e-03
5.116437077522277832e-01,5.598347187042236328e-01,5.654045343399047852e-01,5.676141977310180664e-01,1.190833281725645065e-03
1.251985877752304077e-01,2.273313999176025391e-01,5.795257091522216797e-01,5.518091320991516113e-01,5.865643266588449478e-03
3.356602191925048828e-01,2.873778641223907471e-01,6.060268282890319824e-01,5.871443748474121094e-01,1.363832503557205200e-03
8.943547010421752930e-01,9.516217112541198730e-01,5.820113420486450195e-01,5.555555224418640137e-01,1.992702949792146683e-03
1.121216267347335815e-01,2.199780941009521484e-01,5.851008296012878418e-01,6.024000048637390137e-01,5.989723838865756989e-03
4.905138015747070312e-01,5.035640001296997070e-01,5.918778181076049805e-01,5.769484639167785645e-01,2.244198985863476992e-04
3.384193181991577148e-01,3.060205578804016113e-01,5.695415735244750977e-01,5.393121838569641113e-01,1.150181517004966736e-03
7.328295111656188965e-01,6.710574626922607422e-01,5.604808330535888672e-01,5.513808131217956543e-01,1.980793895199894905e-03
4.518215060234069824e-01,3.854771256446838379e-01,5.816791653633117676e-01,5.594595670700073242e-01,2.477247966453433037e-03
7.163333892822265625e-01,7.207049727439880371e-01,5.713402032852172852e-01,5.532201528549194336e-01,6.093542906455695629e-04
4.602596163749694824e-01,5.031057596206665039e-01,5.915549993515014648e-01,5.565768480300903320e-01,1.786265172995626926e-03
6.190844774246215820e-01,6.934810280799865723e-01,5.702925920486450195e-01,5.458959341049194336e-01,3.181305481120944023e-03
5.981354117393493652e-01,5.186449289321899414e-01,5.693705677986145020e-01,5.820070505142211914e-01,3.374695777893066406e-03
9.119300544261932373e-02,-5.761908832937479019e-03,5.812073349952697754e-01,5.646465420722961426e-01,4.846369381994009018e-03
3.035131692886352539e-01,6.306608766317367554e-02,5.672112703323364258e-01,5.555555224418640137e-01,2.900519967079162598e-02
6.608138680458068848e-01,6.406894922256469727e-01,5.870096683502197266e-01,5.707777738571166992e-01,3.967355005443096161e-04
3.007981479167938232e-01,2.631313204765319824e-01,5.712157487869262695e-01,5.896868705749511719e-01,9.754026541486382484e-04
2.465327829122543335e-02,6.178759783506393433e-02,5.713383555412292480e-01,5.458332896232604980e-01,1.016464782878756523e-03
7.768346667289733887e-01,7.340719103813171387e-01,5.868712067604064941e-01,5.962120890617370605e-01,9.633307345211505890e-04
8.980267643928527832e-01,9.941380620002746582e-01,5.771828889846801758e-01,5.603364109992980957e-01,4.881665110588073730e-03
5.810338258743286133e-01,5.561470389366149902e-01,5.825273990631103516e-01,5.611404180526733398e-01,5.554188974201679230e-04
5.323312282562255859e-01,4.941714406013488770e-01,5.769926905632019043e-01,6.111373901367187500e-01,1.326832803897559643e-03
6.126683950424194336e-01,6.045728921890258789e-01,5.936295390129089355e-01,6.048485040664672852e-01,2.287978568347170949e-04
6.581267714500427246e-02,3.098512534052133560e-04,5.796481370925903320e-01,5.597596168518066406e-01,2.423632424324750900e-03
4.557112753391265869e-01,3.691854178905487061e-01,5.859297513961791992e-01,6.120908856391906738e-01,4.278390202671289444e-03
9.563363194465637207e-01,9.872089624404907227e-01,5.989032983779907227e-01,6.112373471260070801e-01,7.030701963230967522e-04
3.435818105936050415e-02,8.254652842879295349e-03,5.551689863204956055e-01,5.555555224418640137e-01,3.478427533991634846e-04
4.218364655971527100e-01,4.173216223716735840e-01,5.968862175941467285e-01,5.841646790504455566e-01,1.969129370991140604e-04
3.032818734645843506e-01,1.818182021379470825e-01,5.827771425247192383e-01,5.542484521865844727e-01,7.789316587150096893e-03
7.005158066749572754e-01,7.479757070541381836e-01,5.685983300209045410e-01,5.878777503967285156e-01,1.346960547380149364e-03
6.705589294433593750e-01,6.201209425926208496e-01,5.787755250930786133e-01,5.845838785171508789e-01,1.592826447449624538e-03
8.895025253295898438e-01,9.941743016242980957e-01,5.734298825263977051e-01,5.555555224418640137e-01,5.644560791552066803e-03
1.545231044292449951e-01,2.483508363366127014e-02,5.914971828460693359e-01,5.628637075424194336e-01,8.846215903759002686e-03
8.082484006881713867e-01,9.660814404487609863e-01,5.565990209579467773e-01,5.555555224418640137e-01,1.248039491474628448e-02
2.617982327938079834e-01,2.424672842025756836e-01,5.768313407897949219e-01,5.493342876434326172e-01,6.492804968729615211e-04
